GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HAR Reader,org.sw4j.tool.har.io,AttributeRequiredException,0,28,0,0,0,7,0,3,0,3
HAR Reader,org.sw4j.tool.har.io,HarReader,0,31,0,2,0,11,0,3,0,2
HAR Reader,org.sw4j.tool.har.io,HarValidator,3,241,0,30,2,51,1,23,1,8
HAR Reader,org.sw4j.tool.har.io,HarValidator.RequiredAttribute,0,15,0,0,0,6,0,3,0,3
HAR Reader,org.sw4j.tool.har.model,Har,0,10,0,0,0,4,0,3,0,3
HAR Reader,org.sw4j.tool.har.model,Page,0,38,0,0,0,16,0,11,0,11
HAR Reader,org.sw4j.tool.har.model,Browser,0,3,0,0,0,1,0,1,0,1
HAR Reader,org.sw4j.tool.har.model,CreatorBrowser,0,24,0,0,0,11,0,7,0,7
HAR Reader,org.sw4j.tool.har.model,PageTimings,0,24,0,0,0,10,0,7,0,7
HAR Reader,org.sw4j.tool.har.model,Creator,0,3,0,0,0,1,0,1,0,1
HAR Reader,org.sw4j.tool.har.model,Log,0,75,0,12,0,23,0,17,0,11
